Index,Folder Name
0,Adrien_Brody
1,Andy_Roddick
2,Ann_Veneman
3,Anna_Kournikova
4,Ari_Fleischer
5,Bill_Simon
6,Britney_Spears
7,Catherine_Zeta-Jones
8,Charles_Moose
9,Condoleezza_Rice
10,David_Nalbandian
11,Dick_Cheney
12,Dominique_de_Villepin
13,Edmund_Stoiber
14,Eduardo_Duhalde
15,George_HW_Bush
16,Gonzalo_Sanchez_de_Lozada
17,Gordon_Brown
18,Harrison_Ford
19,Hillary_Clinton
20,Howard_Dean
21,Hu_Jintao
22,Jackie_Chan
23,James_Blake
24,James_Kelly
25,Jeb_Bush
26,Jennifer_Garner
27,Jiri_Novak
28,Joe_Lieberman
29,John_Allen_Muhammad
30,John_Paul_II
31,Julie_Gerberding
32,Keanu_Reeves
33,Kim_Clijsters
34,Kim_Ryong-sung
35,Lucio_Gutierrez
36,Mahathir_Mohamad
37,Mark_Philippoussis
38,Meryl_Streep
39,Michael_Jackson
40,Mike_Weir
41,Mohammed_Al-Douri
42,Nancy_Pelosi
43,Nicanor_Duarte_Frutos
44,Norah_Jones
45,Paul_Burrell
46,Pierce_Brosnan
47,Queen_Elizabeth_II
48,Richard_Gephardt
49,Roger_Federer
50,Rubens_Barrichello
51,Salma_Hayek
52,Sergey_Lavrov
53,Sergio_Vieira_De_Mello
54,Taha_Yassin_Ramadan
55,Tang_Jiaxuan
56,Wen_Jiabao
57,Yoriko_Kawaguchi
